free_bikes,longitude,latitude
13,-79.319796,43.665269
0,-79.445947,43.67142
17,-79.317693,43.666224
2,-79.376716,43.653236
7,-79.380288,43.663722
14,-79.389165,43.657763
16,-79.382736,43.656729
8,-79.414783,43.664467
7,-79.388858,43.675492
1,-79.396273,43.674991
7,-79.387778,43.671944
0,-79.351104,43.662365
28,-79.377962,43.646144
7,-79.358534,43.663993
0,-79.374756,43.657266
15,-79.3452697,43.6672144
0,-79.441159,43.673939
10,-79.340075,43.657991
13,-79.329408,43.66745
5,-79.338259,43.672453
11,-79.3348396,43.6592088
3,-79.35438,43.689211
11,-79.378497,43.656927
1,-79.372346,43.658295
9,-79.2889842,43.6940155
1,-79.4229684,43.6809164
0,-79.39535,43.6910667
0,-79.39654,43.6975969
32,-79.395954,43.639832
4,-79.399429,43.667333
6,-79.383177,43.6480008
4,-79.389099,43.656518
1,-79.38906,43.687999
0,-79.45166666666667,43.6563889
17,-79.399595,43.639179
7,-79.40138888888889,43.6616667
0,-79.45833333333334,43.66666667
1,-79.452559,43.657192
10,-79.4032,43.6576
4,-79.379052,43.660694
26,-79.395854,43.636533
15,-79.382767,43.659777
3,-79.380414,43.643667
4,-79.373327,43.666233
15,-79.393249,43.640114
10,-79.4016759,43.653766
1,-79.4413888888889,43.6538888888889
1,-79.4430555555556,43.6508333333333
5,-79.43868,43.651238
11,-79.422634,43.6544915
1,-79.4655296,43.6543604
14,-79.465083,43.635932
5,-79.460053,43.654501
9,-79.467763,43.634896
21,-79.4304,43.6314
13,-79.444966,43.636731
2,-79.4512787,43.6534268
0,-79.39894,43.7112153
12,-79.39201,43.655227
1,-79.34962,43.685167
0,-79.39014,43.6704537
2,-79.38551,43.6691099
5,-79.404444,43.641389
12,-79.396649,43.643834
11,-79.3895315,43.6545174
11,-79.404998,43.665846
4,-79.3895,43.6461
9,-79.29451,43.671349
15,-79.312315,43.667208
9,-79.288949,43.669328
8,-79.289,43.672571
17,-79.39192,43.638497
13,-79.315223,43.662771
7,-79.363525,43.66852
5,-79.401456,43.652473
9,-79.419576,43.643975
19,-79.36023,43.651318
21,-79.381484,43.656094
1,-79.405181,43.670318
7,-79.416111,43.676667
23,-79.435841,43.640634
19,-79.423611,43.639444
0,-79.42083333333333,43.67
1,-79.416389,43.671389
2,-79.42500000000001,43.68
13,-79.42527777777778,43.6394444
2,-79.40698,43.675791
2,-79.410278,43.675556
1,-79.414722,43.674444
11,-79.408317,43.671513
0,-79.35822,43.6783213
3,-79.356602,43.6848652
1,-79.347046,43.68395
2,-79.341307,43.690537
0,-79.423122,43.704461
15,-79.329196,43.659195
4,-79.3649,43.651885
0,-79.377557,43.682645
6,-79.43305555555555,43.6475
4,-79.393535,43.6494896
4,-79.44874,43.671526
3,-79.3827914,43.6452972
9,-79.3960744,43.6452091
6,-79.43361111111112,43.6555556
2,-79.390328,43.678077
15,-79.415345,43.645665
2,-79.42668,43.6493472
21,-79.361275,43.660207
23,-79.367061,43.648655
25,-79.389728,43.648711
4,-79.3437663,43.6605603
3,-79.36138888888888,43.6561111
4,-79.354455,43.652219
8,-79.356832,43.650279
10,-79.395504,43.649147
25,-79.375413,43.643795
10,-79.397735,43.662085
5,-79.365769,43.659575
17,-79.362198,43.65205
8,-79.393899,43.668456
20,-79.399792,43.639052
6,-79.42822,43.6448617
15,-79.432837,43.6409
1,-79.415646,43.660414
4,-79.407896,43.661975
3,-79.422988,43.65905
