,name,distance,latitude,longitude,api,query
0,Rorschach Brewing,194,43.665269,-79.319796,foursquare,bar
1,Black Lab Brewing,842,43.665269,-79.319796,foursquare,bar
2,Godspeed Brewery,804,43.665269,-79.319796,foursquare,bar
3,Murphy's Law Irish Pub Inc,617,43.665269,-79.319796,foursquare,bar
4,Eulalie's Corner Store,824,43.665269,-79.319796,foursquare,bar
5,Leslieville Farmers Market,40,43.665269,-79.319796,foursquare,bar
6,Woodbine Park,379,43.665269,-79.319796,foursquare,bar
7,The Sidekick,440,43.665269,-79.319796,foursquare,bar
8,Hastings Barber Shop,762,43.665269,-79.319796,foursquare,bar
9,Lake Inez,809,43.665269,-79.319796,foursquare,bar
10,The Greater Good Bar,581,43.67142,-79.445947,foursquare,bar
11,Boo Radleys Junction Bar N Gri,680,43.67142,-79.445947,foursquare,bar
12,Blood Brothers Brewing,774,43.67142,-79.445947,foursquare,bar
13,Earl's Court Bar & Eatery,634,43.67142,-79.445947,foursquare,bar
14,Castello Sports Bar,758,43.67142,-79.445947,foursquare,bar
15,Balzac's Coffee Roasters,284,43.67142,-79.445947,foursquare,bar
16,Tre Mari Bakery,603,43.67142,-79.445947,foursquare,bar
17,Vivid Bar & Lounge,969,43.67142,-79.445947,foursquare,bar
18,Hale Coffee,729,43.67142,-79.445947,foursquare,bar
19,Parallel,617,43.67142,-79.445947,foursquare,bar
20,Rorschach Brewing,349,43.666224,-79.317693,foursquare,bar
21,Godspeed Brewery,709,43.666224,-79.317693,foursquare,bar
22,Murphy's Law Irish Pub Inc,422,43.666224,-79.317693,foursquare,bar
23,Eulalie's Corner Store,778,43.666224,-79.317693,foursquare,bar
24,Leslieville Farmers Market,223,43.666224,-79.317693,foursquare,bar
25,Woodbine Park,257,43.666224,-79.317693,foursquare,bar
26,The Sidekick,630,43.666224,-79.317693,foursquare,bar
27,The Burger's Priest,180,43.666224,-79.317693,foursquare,bar
28,Hastings Barber Shop,954,43.666224,-79.317693,foursquare,bar
29,Lake Inez,740,43.666224,-79.317693,foursquare,bar
30,Bar+ Karaoke Lounge,703,43.653236,-79.376716,foursquare,bar
31,Pravda Vodka Bar,548,43.653236,-79.376716,foursquare,bar
32,Earl's Kitchen & Bar,813,43.653236,-79.376716,foursquare,bar
33,Beer Bistro,426,43.653236,-79.376716,foursquare,bar
34,Library Bar,945,43.653236,-79.376716,foursquare,bar
35,C'est What,595,43.653236,-79.376716,foursquare,bar
36,The Queen and Beaver Public House,721,43.653236,-79.376716,foursquare,bar
37,CRAFT Beer Market Toronto,371,43.653236,-79.376716,foursquare,bar
38,Pearl Diver,302,43.653236,-79.376716,foursquare,bar
39,The Carbon Bar,153,43.653236,-79.376716,foursquare,bar
40,Bar+ Karaoke Lounge,612,43.663722,-79.38028800000001,foursquare,bar
41,T Bar,597,43.663722,-79.38028800000001,foursquare,bar
42,Hair of the Dog,111,43.663722,-79.38028800000001,foursquare,bar
43,Woody's,74,43.663722,-79.38028800000001,foursquare,bar
44,Churchmouse & Firkin,101,43.663722,-79.38028800000001,foursquare,bar
45,Black Eagle,43,43.663722,-79.38028800000001,foursquare,bar
46,The Queen and Beaver Public House,741,43.663722,-79.38028800000001,foursquare,bar
47,Stout Irish Pub,905,43.663722,-79.38028800000001,foursquare,bar
48,The 3 Brewers,916,43.663722,-79.38028800000001,foursquare,bar
49,Kintaro Izakaya,47,43.663722,-79.38028800000001,foursquare,bar
50,Bar+ Karaoke Lounge,587,43.657763,-79.389165,foursquare,bar
51,T Bar,503,43.657763,-79.389165,foursquare,bar
52,The Queen and Beaver Public House,454,43.657763,-79.389165,foursquare,bar
53,Sin and Redemption,401,43.657763,-79.389165,foursquare,bar
54,Hair of the Dog,948,43.657763,-79.389165,foursquare,bar
55,Queen St Warehouse,854,43.657763,-79.389165,foursquare,bar
56,Lobby Lounge at the Shangri-La Toronto,979,43.657763,-79.389165,foursquare,bar
57,Neo Coffee Bar,375,43.657763,-79.389165,foursquare,bar
58,The Keg Steakhouse + Bar,955,43.657763,-79.389165,foursquare,bar
59,Dark Horse Espresso Bar,1019,43.657763,-79.389165,foursquare,bar
60,Bar+ Karaoke Lounge,190,43.656729,-79.382736,foursquare,bar
61,T Bar,223,43.656729,-79.382736,foursquare,bar
