,name,rating,review_count,distance,latitude,longitude,total,api,query
0,Jaclyn's,4.5,16,172.37513361109032,43.665269,-79.319796,91,yelp,restaurant
1,Casa Di Giorgios,4.0,75,408.71572448842034,43.665269,-79.319796,91,yelp,restaurant
2,Lake Inez,4.5,95,794.6619550133811,43.665269,-79.319796,91,yelp,restaurant
3,Tulia Osteria,4.5,2,365.1153942401661,43.665269,-79.319796,91,yelp,restaurant
4,Puerto Bravo,4.5,4,777.9806691992109,43.665269,-79.319796,91,yelp,restaurant
5,Le Conciliabule,4.5,14,903.6090778135728,43.665269,-79.319796,91,yelp,restaurant
6,The Sidekick,4.5,31,436.0032948767222,43.665269,-79.319796,91,yelp,restaurant
7,Maru Japanese Bistro,4.0,20,364.44850504314206,43.665269,-79.319796,91,yelp,restaurant
8,Beach Club,3.0,19,839.3120734378176,43.665269,-79.319796,91,yelp,restaurant
9,Jules Bistro,3.5,31,724.0458166129055,43.665269,-79.319796,91,yelp,restaurant
10,Maha's,4.0,598,1005.190034713692,43.665269,-79.319796,91,yelp,restaurant
11,Mattachioni,5.0,4,815.1485644834155,43.665269,-79.319796,91,yelp,restaurant
12,Betty’s East,3.5,6,689.7787205765445,43.665269,-79.319796,91,yelp,restaurant
13,British Style Fish & Chips,4.0,53,426.62747686060635,43.665269,-79.319796,91,yelp,restaurant
14,The Burger's Priest,3.5,509,374.2380726403347,43.665269,-79.319796,91,yelp,restaurant
15,Occasions Restaurant,4.0,47,908.6517424267239,43.665269,-79.319796,91,yelp,restaurant
16,Nodo Leslieville,4.0,37,983.1152024508168,43.665269,-79.319796,91,yelp,restaurant
17,Black Pony,4.5,8,805.5180733412958,43.665269,-79.319796,91,yelp,restaurant
18,Good Behaviour,4.5,11,849.2026845221632,43.665269,-79.319796,91,yelp,restaurant
19,Gio Rana's Really Really Nice Restaurant,4.0,231,881.124117228234,43.665269,-79.319796,91,yelp,restaurant
20,Agio,4.5,191,646.4712110381079,43.67142,-79.445947,137,yelp,restaurant
21,Famiglia Baldassarre,4.5,74,888.6585807335229,43.67142,-79.445947,137,yelp,restaurant
22,North Of Brooklyn,4.0,44,597.6101584467683,43.67142,-79.445947,137,yelp,restaurant
23,Rush Hour,4.5,48,440.38079151577574,43.67142,-79.445947,137,yelp,restaurant
24,Parallel,4.0,106,631.8823306471566,43.67142,-79.445947,137,yelp,restaurant
25,The Sovereign,4.5,36,506.778964258629,43.67142,-79.445947,137,yelp,restaurant
26,Meta Dos Leitoes,4.5,7,622.2462797683386,43.67142,-79.445947,137,yelp,restaurant
27,Love Chix,4.0,44,292.2904736197312,43.67142,-79.445947,137,yelp,restaurant
28,Rio 40 Restaurant,4.0,63,672.1228699501091,43.67142,-79.445947,137,yelp,restaurant
