,free_bikes,rating,review_count,distance,total
0,13,4.5,16,172.37513361109032,91
1,13,4.0,75,408.71572448842034,91
2,13,4.5,95,794.6619550133812,91
3,13,4.5,2,365.1153942401661,91
4,13,4.5,4,777.9806691992109,91
5,13,4.5,14,903.6090778135726,91
6,13,4.5,31,436.0032948767222,91
7,13,4.0,20,364.44850504314206,91
9,13,3.5,31,724.0458166129055,91
11,13,5.0,4,815.1485644834155,91
12,13,3.5,6,689.7787205765445,91
13,13,4.0,53,426.6274768606064,91
15,13,4.0,47,908.6517424267239,91
16,13,4.0,37,983.1152024508168,91
17,13,4.5,8,805.5180733412958,91
18,13,4.5,11,849.2026845221633,91
19,13,4.0,231,881.1241172282339,91
20,0,4.5,191,646.4712110381079,137
21,0,4.5,74,888.658580733523,137
22,0,4.0,44,597.6101584467683,137
23,0,4.5,48,440.3807915157757,137
24,0,4.0,106,631.8823306471566,137
25,0,4.5,36,506.778964258629,137
26,0,4.5,7,622.2462797683386,137
27,0,4.0,44,292.2904736197312,137
28,0,4.0,63,672.1228699501091,137
29,0,4.0,81,748.0025230177373,137
30,0,5.0,8,720.4972412148205,137
31,0,4.5,73,920.0498725031513,137
32,0,4.0,2,655.6681648748463,137
33,0,3.5,52,652.0344441807152,137
34,0,3.5,3,299.6021921678177,137
35,0,4.0,5,607.5270955747128,137
36,0,4.0,11,644.4584382403085,137
37,0,3.5,26,711.2083597651888,137
38,0,4.0,29,843.8130430746781,137
39,0,5.0,1,647.798373088365,137
40,17,4.5,16,29.257262572899972,83
41,17,4.0,75,211.83409499769652,83
42,17,4.5,95,726.2105823651317,83
43,17,4.5,4,744.6803620851091,83
44,17,4.5,14,956.331207754258,83
45,17,4.5,2,553.9020760674997,83
48,17,4.0,53,269.51772516492844,83
49,17,4.0,61,78.63482295741966,83
50,17,4.5,31,625.5297678614603,83
51,17,5.0,4,728.4699999778046,83
53,17,4.0,47,795.2799227847504,83
54,17,3.5,58,98.63227407420021,83
55,17,4.0,20,554.286078137481,83
56,17,4.5,3,179.6109754494347,83
57,17,3.5,31,915.4353499877893,83
58,17,4.5,8,732.1834312071887,83
61,2,4.0,38,426.2887524094813,1100
62,2,4.5,102,418.2400800533181,1100
64,2,4.5,28,658.703216318728,1100
65,2,4.5,76,681.0174839428291,1100
66,2,5.0,34,295.3926549062544,1100
69,2,4.0,120,269.68300532343875,1100
71,2,4.0,90,137.58338363742573,1100
75,2,4.5,22,690.5955016176802,1100
76,2,4.0,13,783.4844859546329,1100
77,2,4.0,156,412.2541837409274,1100
78,2,5.0,1,413.56586240120566,1100
80,14,4.5,76,442.3264603549685,1000
81,14,4.5,83,436.7510327540966,1000
82,14,4.5,22,432.75366835790976,1000
83,14,4.5,44,615.3108818145923,1000
85,14,4.0,38,393.32280445325625,1000
86,14,4.5,210,393.4109960373616,1000
87,14,4.0,126,319.25735370120736,1000
88,14,4.0,21,433.9528762399971,1000
90,14,4.0,161,425.67483765846924,1000
91,14,4.5,163,876.7258423564377,1000
94,14,4.5,51,932.2753833071444,1000
95,14,4.0,63,571.2114796822435,1000
97,14,4.0,13,921.8490397919884,1000
99,14,4.0,21,339.36614230722716,1000
100,16,4.5,76,180.9763467434198,1100
101,16,4.5,22,184.95680378356545,1100
103,16,4.0,63,65.11778744692941,1100
104,16,4.5,44,431.12584462755615,1100
107,16,5.0,34,329.6030539726629,1100
109,16,4.0,38,782.5187075044353,1100
111,16,4.0,13,530.4017168473649,1100
112,16,4.5,12,192.56127543189785,1100
114,16,4.0,120,419.0464619659929,1100
115,16,4.5,210,301.8531717958246,1100
117,16,4.0,52,185.02340775028702,1100
118,16,4.5,5,152.38929344163418,1100
119,16,4.0,161,75.92898880864321,1100
120,8,4.5,116,45.70845779352447,338
121,8,4.5,92,75.10814857577229,338
122,8,4.5,85,224.87889726449865,338
123,8,5.0,3,165.91590650961308,338
126,8,4.0,276,62.04971461550738,338
127,8,5.0,23,286.70293545700014,338
128,8,4.5,63,147.54824326655626,338
129,8,4.0,69,47.32785107871025,338
130,8,4.5,330,890.038831010138,338
131,8,4.0,215,82.31401014583372,338
132,8,4.0,84,133.92031265532722,338
134,8,4.0,323,189.5653037577248,338
135,8,4.5,6,193.70112600486922,338
136,8,4.0,70,246.88054795985832,338
137,8,4.5,84,585.5763100589309,338
138,8,4.0,28,83.8136750122836,338
139,8,4.0,193,336.97874325160547,338
141,7,4.5,26,243.74550419839568,286
142,7,5.0,76,280.395701464177,286
143,7,4.5,24,713.4391638201225,286
144,7,4.0,184,643.5698370095943,286
145,7,4.0,22,99.43293877168928,286
146,7,4.0,207,370.5835065034395,286
147,7,4.0,93,694.1564397554724,286
148,7,4.5,43,625.3911598580314,286
149,7,4.0,10,617.0601314430655,286
150,7,5.0,6,345.3248750765377,286
151,7,4.5,383,183.4669490267399,286
152,7,3.5,296,653.4652177326158,286
153,7,4.0,78,634.9875142470328,286
155,7,4.0,27,583.6929316291951,286
156,7,4.0,86,319.884748380198,286
157,7,4.0,22,332.0509258496862,286
158,7,4.0,14,615.6956368576848,286
159,7,3.5,45,384.3366579734189,286
160,1,4.5,173,16.625474799236926,300
161,1,4.5,38,78.90409439813973,300
162,1,4.5,114,610.7068917607007,300
164,1,4.0,184,553.9309746610323,300
165,1,4.5,24,609.7623593952119,300
166,1,4.0,130,140.99111943611078,300
167,1,4.5,29,303.3616473689475,300
168,1,4.0,22,806.9815272715243,300
170,1,5.0,76,588.7200096289325,300
171,1,4.5,26,622.5315226706682,300
172,1,4.5,12,307.76013291026425,300
173,1,4.0,16,644.0039845283311,300
174,1,4.0,178,294.86229897067506,300
